Timestamp,Wind Speed (m/s),Wind Direction (°),Load Cell Z-1 (mV/V),Load Cell Z-2 (mV/V),Load Cell X (mV/V),Load Cell Y (mV/V)
1.2366702556610107,0.0,-90.10403719815342,,,,
1.24,0.0,-0.0,0.0,0.0
1.3551256656646729,0.0,-89.95838512073865,,,,
1.4705626964569092,0.0,-89.95838512073865,,,,
1.5957903861999512,0.0,-89.93757768110797,,,,
1.7164397239685059,0.0,-89.93757768110797,,,,
1.74,0.0,-0.0,0.0,0.0
1.833557367324829,0.0,-89.95838512073865,,,,
1.9552102088928223,0.0,-89.95838512073865,,,,
2.0718445777893066,0.0,-89.93757768110797,,,,
2.1959054470062256,0.0,-89.93757768110797,,,,
2.24,0.0,-0.0,0.0,0.0
2.316460609436035,0.0,-89.93757768110797,,,,
2.435011386871338,0.0,-89.95838512073865,,,,
2.5547029972076416,0.0,-89.93757768110797,,,,
2.677415370941162,0.0,-89.95838512073865,,,,
2.74,0.0,-0.0,0.0,0.0
2.7971808910369873,0.0,-89.93757768110797,,,,
2.916698932647705,0.0,-89.95838512073865,,,,
3.0356619358062744,0.0,-89.95838512073865,,,,
3.156839609146118,0.0,-89.95838512073865,,,,
3.24,0.0,-0.0,0.0,0.0
3.2760813236236572,0.0,-89.93757768110797,,,,
3.3957033157348633,0.0,-89.93757768110797,,,,
3.516470193862915,0.0,-89.95838512073865,,,,
3.6366708278656006,0.0,-89.93757768110797,,,,
3.75,0.0,-0.0,0.0,0.0
3.756518840789795,0.0,-89.93757768110797,,,,
3.8767096996307373,0.0,-89.9167702414773,,,,
3.995401382446289,0.0,-89.93757768110797,,,,
4.1165149211883545,0.0,-89.93757768110797,,,,
4.236713886260986,0.0,-89.93757768110797,,,,
4.25,0.0,0.0,0.0,0.0
4.356884956359863,0.0,-89.93757768110797,,,,
4.476137638092041,0.0,-89.93757768110797,,,,
4.596329927444458,0.0,-89.93757768110797,,,,
4.716410875320435,0.0,-89.93757768110797,,,,
4.75,0.0,0.0,0.0,0.0
4.836626291275024,0.0,-89.93757768110797,,,,
4.955629110336304,0.0,-89.93757768110797,,,,
5.076277494430542,0.0,-89.93757768110797,,,,
5.196473598480225,0.0,-89.93757768110797,,,,
5.25,0.0,-0.0,0.0,0.0
5.316233396530151,0.0,-89.93757768110797,,,,
5.435590028762817,0.0,-89.93757768110797,,,,
5.556203603744507,0.0,-89.9167702414773,,,,
5.676535129547119,0.0,-89.93757768110797,,,,
5.75,0.0,-0.0,0.0,0.0
5.796788215637207,0.0,-89.93757768110797,,,,
5.915460824966431,0.0,-89.95838512073865,,,,
6.036291599273682,0.0,-89.95838512073865,,,,
6.156485557556152,0.0,-89.93757768110797,,,,
6.25,0.0,-0.0,0.0,0.0
6.276705741882324,0.0,-89.95838512073865,,,,
6.395685195922852,0.0,-89.93757768110797,,,,
6.516574859619141,0.0,-89.93757768110797,,,,
6.636887788772583,0.0,-89.93757768110797,,,,
